trait,estimator,clf__C,clf__gamma,clf__kernel,svd__n_components,svd__random_state,tfidf__use_idf,vect__ngram_range,vect__stop_words,r
O,"SVR(C=1.0, cache_size=200, coef0=0.0, degree=3, epsilon=0.1,
  gamma='auto_deprecated', kernel='rbf', max_iter=-1, shrinking=True,
  tol=0.001, verbose=False)",0.01,100.0,rbf,5,8424,True,1,english,0.010330118595434028
O,"SVR(C=1.0, cache_size=200, coef0=0.0, degree=3, epsilon=0.1,
  gamma='auto_deprecated', kernel='rbf', max_iter=-1, shrinking=True,
  tol=0.001, verbose=False)",0.01,100.0,rbf,5,8424,True,2,english,0.010330118595434028
trait,estimator,clf__C,clf__gamma,clf__kernel,svd__n_components,svd__random_state,tfidf__use_idf,vect__ngram_range,vect__stop_words,r
C,"SVR(C=1.0, cache_size=200, coef0=0.0, degree=3, epsilon=0.1,
  gamma='auto_deprecated', kernel='rbf', max_iter=-1, shrinking=True,
  tol=0.001, verbose=False)",100.0,0.001,rbf,5,8424,True,2,,0.12515892902592274
C,"SVR(C=1.0, cache_size=200, coef0=0.0, degree=3, epsilon=0.1,
  gamma='auto_deprecated', kernel='rbf', max_iter=-1, shrinking=True,
  tol=0.001, verbose=False)",100.0,0.001,rbf,5,8424,True,3,,0.12515892902592274
trait,estimator,clf__C,clf__gamma,clf__kernel,svd__n_components,svd__random_state,tfidf__use_idf,vect__ngram_range,vect__stop_words,r
E,"SVR(C=1.0, cache_size=200, coef0=0.0, degree=3, epsilon=0.1,
  gamma='auto_deprecated', kernel='rbf', max_iter=-1, shrinking=True,
  tol=0.001, verbose=False)",0.1,100.0,rbf,5,8424,True,1,english,0.2445214031865361
E,"SVR(C=1.0, cache_size=200, coef0=0.0, degree=3, epsilon=0.1,
  gamma='auto_deprecated', kernel='rbf', max_iter=-1, shrinking=True,
  tol=0.001, verbose=False)",0.1,100.0,rbf,5,8424,True,2,english,0.2445214031865361
trait,estimator,clf__C,clf__gamma,clf__kernel,svd__n_components,svd__random_state,tfidf__use_idf,vect__ngram_range,vect__stop_words,r
A,"SVR(C=1.0, cache_size=200, coef0=0.0, degree=3, epsilon=0.1,
  gamma='auto_deprecated', kernel='rbf', max_iter=-1, shrinking=True,
  tol=0.001, verbose=False)",0.1,1.0,rbf,5,8424,True,1,,0.2341314657390951
A,"SVR(C=1.0, cache_size=200, coef0=0.0, degree=3, epsilon=0.1,
  gamma='auto_deprecated', kernel='rbf', max_iter=-1, shrinking=True,
  tol=0.001, verbose=False)",0.1,1.0,rbf,5,8424,True,2,,0.2341314657390951
trait,estimator,clf__C,clf__gamma,clf__kernel,svd__n_components,svd__random_state,tfidf__use_idf,vect__ngram_range,vect__stop_words,r
N,"SVR(C=1.0, cache_size=200, coef0=0.0, degree=3, epsilon=0.1,
  gamma='auto_deprecated', kernel='rbf', max_iter=-1, shrinking=True,
  tol=0.001, verbose=False)",0.01,100.0,rbf,5,8424,True,2,english,0.006915455034044024
N,"SVR(C=1.0, cache_size=200, coef0=0.0, degree=3, epsilon=0.1,
  gamma='auto_deprecated', kernel='rbf', max_iter=-1, shrinking=True,
  tol=0.001, verbose=False)",0.01,100.0,rbf,5,8424,True,3,english,0.006915455034044024
